alpha,seed,algo,avg_reward,stability_error
0.1,13,FPRL,-212.57760436500422,0.4498359846114079
0.1,13,PPO,-129.91222964152422,0.5235001258714165
0.1,14,EGP,-145.40251259969412,0.5084506764948353
0.1,14,FPRL,-210.81158642582056,0.45548188219555785
0.1,14,PPO,-246.15535092496458,0.4042559085124261
0.1,15,EGP,-174.81604957432475,0.5040723078240005
0.1,15,FPRL,-211.4206837801749,0.4590102733312784
0.1,15,PPO,-147.41555595152903,0.5780657218742284
0.1,16,EGP,-199.64307335173595,0.4628298190220168
0.1,16,FPRL,-203.01596140854053,0.46780170376110225
0.1,16,PPO,-85.3563717614118,0.6093250625176928
0.1,17,EGP,-165.50229955916814,0.47552213193276804
0.1,17,FPRL,-201.2149344938404,0.4576561241634023
0.1,17,PPO,-393.343538142541,0.17589247430133922
0.1,18,EGP,-161.9696225859155,0.5117855552266339
0.1,18,FPRL,-203.27620913291264,0.46688300914737757
0.1,18,PPO,-109.0041376794206,0.5643098385172252
0.1,19,EGP,-151.85658682187034,0.5095785576133067
0.1,19,FPRL,-204.23363760725124,0.4547463259443616
0.1,19,PPO,-215.3006351212851,0.44262119232524344
0.1,20,EGP,-117.44841177134495,0.5219365404830756
0.1,20,FPRL,-204.47167718246752,0.45739484460832625
0.1,20,PPO,-98.34161512875478,0.5214980866945526
0.1,21,EGP,-122.31364817054488,0.5467658882883211
0.1,21,FPRL,-209.81795727017365,0.46169049251929817
0.1,21,PPO,-93.21120228505703,0.5859396347321701
0.1,22,EGP,-107.22821948375845,0.5220061666400665
0.1,22,FPRL,-201.0743109898104,0.463319024239683
0.1,22,PPO,-435.38672671272315,0.10781953611334615
0.1,23,EGP,-190.810604286599,0.46560761713538973
0.1,23,FPRL,-207.55714589017467,0.45646838216930374
0.1,23,PPO,-57.43868546943221,0.4904533320394304
0.1,24,EGP,-127.89769398755769,0.527661664732408
0.1,24,FPRL,-210.39806009601662,0.44751652352611876
0.1,24,PPO,-93.73965066040523,0.5485252786663033
0.1,25,EGP,-165.4080821261919,0.4856281740833668
0.1,25,FPRL,-204.725676790279,0.45479564545012435
0.1,25,PPO,-199.36308490983305,0.450103809128477
0.1,26,EGP,-153.19374416997962,0.5098761862659293
0.1,26,FPRL,-201.01518929268858,0.4636920019216136
0.1,26,PPO,-366.53445173821603,0.24590951071603778
0.1,27,EGP,-127.63088313976733,0.544281730998447
0.1,27,FPRL,-200.40523216865267,0.47197997666263525
0.1,27,PPO,-101.77964015789763,0.5863729611891394
0.1,28,EGP,-207.8486871361864,0.4772887975668567
0.1,28,FPRL,-213.79907304729275,0.4562576679989602
0.1,28,PPO,-129.0142202440322,0.5218199543168826
0.1,29,EGP,-157.95103211586016,0.5135881825753753
0.1,29,FPRL,-205.80345845955947,0.46354174966275247
0.1,29,PPO,-143.1796972578985,0.5565118068327766
0.1,30,EGP,-147.94453554945605,0.5126922923539876
0.1,30,FPRL,-207.09296486735698,0.4682534414840763
0.1,30,PPO,-66.08718601526924,0.5885696778829904
0.1,31,EGP,-163.67892298303178,0.48836334438089135
0.1,31,FPRL,-202.21290112021424,0.4575224906114949
0.1,31,PPO,-119.11763821799532,0.5613828707716495
0.1,32,EGP,-191.53291909644656,0.4606410114289228
0.1,32,FPRL,-200.2756107766986,0.4563730138590804
0.1,32,PPO,-82.91483003178982,0.5566347805592525
0.1,33,EGP,-162.2002958455502,0.4721186423675788
0.1,33,FPRL,-208.98647444405412,0.43780689533218886
0.1,33,PPO,-443.0788030104911,0.09178498417042379
0.1,34,EGP,-191.96927250535347,0.47414678557925377
0.1,34,FPRL,-203.65550811338892,0.462342854734347
0.1,34,PPO,-115.96452441465313,0.5656240382872869
0.1,35,EGP,-144.8490515027594,0.48887145271870636
0.1,35,FPRL,-213.76039108299244,0.4479416950241
0.1,35,PPO,-89.98095271166619,0.5493141252802398
0.1,36,EGP,-144.8670005142808,0.4994853230056988
0.1,36,FPRL,-201.71542532457804,0.45063590600135756
0.1,36,PPO,-65.748157206091,0.5652029628034559
0.1,37,EGP,-189.4398100607511,0.46367956826753814
0.1,37,FPRL,-202.58908478941572,0.45272712018421846
0.1,37,PPO,-250.08485852598935,0.4065638425664374
0.1,38,EGP,-162.69847765044196,0.48756019968158343
0.1,38,FPRL,-199.25687046240674,0.45964018452275296
0.1,38,PPO,-135.47089945433262,0.5196634404108718
0.1,39,EGP,-213.6036123421155,0.4362097139159158
0.1,39,FPRL,-223.49357391193024,0.43394476276548766
0.1,39,PPO,-419.7230383255672,0.13271243014120376
0.1,40,EGP,-171.8194730119022,0.4856668831077449
0.1,40,FPRL,-202.40907077009464,0.45369733752262675
0.1,40,PPO,-166.61444392857823,0.4998483687741378
0.1,41,EGP,-163.5462713851688,0.4876689380406698
0.1,41,FPRL,-200.4904493807402,0.46134395328789696
0.1,41,PPO,-187.91965407167547,0.4949708769013294
0.1,42,EGP,-154.46801002149542,0.49011850835579573
0.1,42,FPRL,-207.59827775424753,0.45652987321827854
0.1,42,PPO,-175.92027185464266,0.45240580029577876
0.1,43,EGP,-163.89361733062916,0.49992922968694714
